V	E	seed (hex)	states	runtime (ms)
5	4	60b7acd9	541	4
6	10	1c06dac8	7727	60
5	8	56f32f43	1839	6
7	12	427c3c55	3428	332
6	12	fc4111	30923	162
6	5	35702e2f	1562	30
7	15	77188b05	58291	1369
7	14	bc5816b	30205	189
6	9	59c09d07	12624	114
7	18	21980f48	816543	3993
5	9	2a039441	5485	19
6	13	7eda5023	69733	133
6	7	7dc43530	2057	35
7	18	5364f5ed	344311	1127
5	8	713e154b	1839	7
5	7	621c8039	1761	3
6	7	233025b8	2686	31
7	20	7c09267	3756253	21393
7	14	4215dae5	19465	202
5	10	3f3aa0c5	11432	15
5	4	795056c4	541	4
5	7	312b91e5	1761	6
5	10	43cec339	11432	15
6	15	66926e8	290108	670
7	18	69f5ead3	344311	4634
7	16	5e3c9ad9	124909	661
7	21	71bcbbfa	9924896	32113
5	6	2cee1151	1764	73
6	11	6c491fae	26644	146
6	14	2278fd06	121801	461
6	10	3be4b761	6326	48
6	13	43b1afd	31325	69
6	10	7a4942e9	7727	82
7	14	7203af8f	18396	349
6	14	1473431e	121801	462
5	9	10b1d72c	5485	11
5	5	624a7a	1052	4
7	9	172798de	22736	370
5	10	5376a8b5	11432	14
5	8	3162604f	3445	5
6	10	12e25c88	4732	49
6	14	4b88adce	121801	462
7	14	12f6a161	49968	370
7	12	12272678	23068	238
6	7	3e87a50e	2860	46
6	15	1021c707	290108	664
5	6	508be447	1764	5
5	8	4f91b429	1839	5
7	9	3cfbb7a2	1678	170
6	7	3a1cc46	2444	31
7	12	122dbec4	6507	191
7	12	10cac92a	1	88
5	6	20642f06	1764	3
5	9	3a478253	5485	7
6	9	678b7f08	2126	23
7	16	1b8d4251	285441	1358
7	20	20041d8f	3756253	21298
7	13	40c32980	82724	353
6	13	60bf7b19	31325	182
6	15	50fd94eb	290108	666
6	14	583086cc	121801	286
7	21	7a2a447c	9924896	32083
6	6	34fee2a5	1973	120
6	14	38532fd1	121801	233
7	19	5b9a2b03	2036497	9167
7	17	5ef08be9	48874	1009
5	10	4332c98c	11432	14
6	5	5b516c2f	1562	23
6	12	574d62b3	15041	44
5	10	6ed53e48	11432	15
7	14	11d12448	290930	987
6	15	1b968d4f	290108	662
6	8	41e05c71	881	20
7	13	3bd814d7	9496	257
7	11	1b130d9e	45684	341
7	17	28dacfab	629556	2045
6	12	571ca7b3	30923	144
5	9	5abde91b	5485	6
7	7	a7660c4	5452	173
7	16	1b5f8216	24049	447
7	21	31e6b8e8	9924896	32145
5	8	245b4295	1839	73
7	18	361329ce	344311	1403
5	5	172cf64	1052	5
5	10	1f3d2b68	11432	15
6	6	6a078701	930	22
5	10	20eae70b	11432	15
5	4	1c15a5e5	946	5
6	12	65bb0468	30923	70
7	18	55b2da36	816543	3211
5	6	59942cc8	1764	3
5	9	435801ed	5485	7
6	11	2a32821a	21801	122
6	14	68191743	121801	461
6	13	2872edaf	69733	115
5	7	27c64a89	1761	5
6	10	3726053c	5610	59
5	6	324e669d	1414	5
6	10	31a47410	13743	41
5	8	568eee72	3445	5
6	13	5c421eb3	31325	51
7	13	785743de	7677	395
5	7	4231d159	1761	4
6	9	4d859a10	12624	72
6	10	42eb5cf7	5610	35
6	11	757c08b7	49375	142
5	10	1f94f3a3	11432	15
7	17	3a56117f	629556	6395
7	17	37e3c4ca	247377	4551
6	13	7eea8ded	31325	190
7	10	607e9310	11254	390
5	5	739f5f88	1713	6
7	17	37dccbeb	198293	4593
5	8	425d803e	1839	3
5	7	31e2b808	1761	4
5	6	503cfe4e	1414	3
6	12	44f2da66	15041	120
5	9	2f9abc92	5485	8
7	10	1324cb2	16480	189
5	7	63500bee	2793	4
5	9	2604d20c	5485	7
5	7	3a8447f0	1761	4
6	9	133d6888	15400	78
5	9	590aa574	5485	11
6	12	2a63f0e1	30923	154
5	10	456d2382	11432	15
5	9	3c1eb9d	5485	9
6	10	49c0091c	2269	43
7	16	44a463b5	124909	698
5	6	4e9baa3f	1764	4
7	11	6b46ea1d	21120	225
7	10	20320e6b	1767	135
6	13	72eeda8d	69733	117
5	9	58f10e1f	5485	8
6	7	552f379b	6832	37
5	5	e8ceca1	1052	5
6	5	16865312	2661	32
6	9	a8f9305	1	24
7	12	6b08d107	5036	113
5	10	3cb16d9	11432	14
5	7	627cec8d	1022	6
7	10	2e094488	41164	344
7	13	5fe77a18	20913	234
7	16	60ddd85c	124909	919
5	5	1c5f983b	1052	4
6	12	4eed172b	6402	47
6	7	1de99a5f	4699	39
5	4	54bc3410	946	5
5	10	3df9a01b	11432	16
6	15	24c018b	290108	663
6	12	3f8fffbf	30923	83
5	7	4274526b	2923	5
7	7	38ad5a8e	7859	228
7	13	2a1e82a9	82881	366
6	13	1a489fbf	69733	133
5	6	7848ec08	1414	4
7	10	900be7e	5457	271
5	7	147d9ae5	1022	4
6	9	29e297b3	12343	26
7	15	6f99e705	158945	548
7	19	5992c13d	2036497	7176
6	15	4d846268	290108	681
6	10	3a3fcfe8	6326	20
6	7	aa28d7a	5317	29
6	10	25171148	5610	25
6	12	6e8bd881	15041	139
5	8	21bfb4f1	3445	6
5	9	3ee45488	5485	7
5	5	5514860c	868	3
6	7	7b532af0	5541	45
5	9	7917fd14	5485	6
5	8	82ab795	3445	10
6	8	413c7b16	1706	21
7	19	5cfc1686	2036497	5619
5	9	50dd9e73	5485	31
5	4	139fd45d	541	4
7	9	1a2f1e25	7541	201
5	8	5a6d52b1	1839	5
6	7	1dc6160e	3987	44
6	10	6e3b63d0	4732	37
